State,City,Wind_Speed_ms,Seismic_Zone,Seismic_Factor,Max_Temp_C,Min_Temp_C
Andhra Pradesh,Tirupathy,50,III,0.16,45.2,12.9
Andhra Pradesh,Tirmalai,50,III,0.16,37.6,3.6
Andhra Pradesh,Tuni,50,III,0.16,47.5,13.9
Andhra Pradesh,Vishakhapatnam,50,II,0.10,45.4,10.5
Arunachal Pradesh,Pasighat,47,V,0.36,38.8,6
Assam,Dhubri,50,V,0.36,41.3,2.4
Assam,Dibrugarh,50,V,0.36,39.8,1
Assam,Guwahati,50,V,0.36,40.3,3
Assam,North Lakhimpur,50,V,0.36,39,2.7
Assam,Rangia,50,V,0.36,39.4,6
Assam,Silchar,50,V,0.36,39.4,5
Assam,Tezpur,50,V,0.36,45.7,5.6
Bihar,Bhagalpur,47,IV,0.24,46.6,3.8
Bihar,Chaibasa,47,IV,0.24,46.7,4.4
Bihar,Chapra,47,IV,0.24,46.6,2.4
Bihar,Daltonganj,47,IV,0.24,48.8,0
Bihar,Darbhanga,55,V,0.36,44.1,0
Bihar,Dehri,47,IV,0.24,49.5,-1
Bihar,Dumka,47,IV,0.24,48.5,1.9
Bihar,Gaya,39,III,0.16,49,1.2
Bihar,Hazaribagh,47,IV,0.24,46.6,0.5
Bihar,Jamshedpur,47,II,0.10,47.7,3.9
Bihar,Motihari,47,IV,0.24,44.4,0
Bihar,Muzaffarpur,47,IV,0.24,44.5,2.2
Bihar,Patna,47,IV,0.24,46.6,1.4
Bihar,Purnea,47,IV,0.24,43.9,-0.2
Bihar,Ranchi,39,II,0.10,43.4,0.6
Bihar,Sabaur,47,IV,0.24,46.1,0.6
Bihar,Bokaro,47,III,0.16,47,4
Bihar,Barauni,47,IV,0.24,47,3
Bihar,Asansol,47,III,0.16,47,4
Chandigarh,Chandigarh,47,IV,0.24,47,2
Chhattisgarh,Ambikapur,39,II,0.10,44.9,0.9
Chhattisgarh,Bailaldila,39,II,0.10,39.4,4.6
Chhattisgarh,Bhilai,39,II,0.10,45,3
Chhattisgarh,Jagdalpur,39,II,0.10,46.1,2.8
Chhattisgarh,Raipur,39,II,0.10,47.9,3.9
Daman and Diu,Diu,44,III,0.16,44,5
Delhi,Delhi,47,IV,0.24,48.4,0
Goa,Dabolim,39,III,0.16,38.2,13.6
Goa,Marmugao,39,III,0.16,38.4,12.2
Goa,Panjim,39,III,0.16,39.8,3.4
Gujarat,Ahmedabad,39,III,0.16,47.8,2.2
Gujarat,Amreli,39,III,0.16,46.2,1.6
